id,name,registration_number,hidrometer_number,created_at,updated_at,owner_id
608,UNB OCA 01 PIJ OCA 01,4790154,A03N001198,2025-01-21 21:17:55.777785,2025-01-21 21:17:55.777808,1
609,UNB PANCP HOSP VETERINÁRIO BIOT.  01,4767861,E02N001959,2025-01-21 21:17:55.784018,2025-01-21 21:17:55.784049,1
610,UNB PAVILHÃO ANÍSIO TEIXEIRA,4789881,E03N001240,2025-01-21 21:17:55.791293,2025-01-21 21:17:55.791374,1
611,UNB POSTO DA PM - PMDF,4803434,A06A040136,2025-01-21 21:17:55.799317,2025-01-21 21:17:55.799344,1
612,UNB QUIOSQUE LANCHONETE ICC,4841697,A06A080133,2025-01-21 21:17:55.806768,2025-01-21 21:17:55.806784,1
613,UNB RESTAURANTE UNVERSITÁRIO - RU,85316,F01N000663,2025-01-21 21:17:55.812794,2025-01-21 21:17:55.812812,1
614,UNB SCLN 406 BL A SS48,198188,A10X057795,2025-01-21 21:17:55.818825,2025-01-21 21:17:55.818852,1
615,UNB SCLN 406 BL. A SS 84,198315,A08S418109,2025-01-21 21:17:55.824768,2025-01-21 21:17:55.824784,1
616,UNB SISMOLÓGICO 02 SIS LIGAÇÃO 2,4758481,E81L000157,2025-01-21 21:17:55.832151,2025-01-21 21:17:55.832180,1
617,UNB ST SUL/AUTOTRAC,2481278,A18N483177,2025-01-21 21:17:55.838294,2025-01-21 21:17:55.838313,1
618,UNB T 6111 AUDITÓRIO DE MÚSICA SG-8-1,4762411,E03N000840,2025-01-21 21:17:55.844034,2025-01-21 21:17:55.844050,1
619,UNB TARTARUGA LANCHES LANCHONETE,4790006,A06A039844,2025-01-21 21:17:55.849774,2025-01-21 21:17:55.849836,1
620,UNB TRAILLER FACULD. EDUC. 3 ESTACIONA.,4789849,A06A041626,2025-01-21 21:17:55.857547,2025-01-21 21:17:55.857559,1
621,UNB TRAILLER QUIOSQUE ICC,4767888,A06A041636,2025-01-21 21:17:55.863471,2025-01-21 21:17:55.863507,1
622,UNB – CDT,4973542,C06N002635,2025-01-21 21:17:55.869610,2025-01-21 21:17:55.869637,1
623,UNB – CIC,6708481,A09X278361,2025-01-21 21:17:55.875598,2025-01-21 21:17:55.875623,1
624,UNB – EST,6712967,A09X273736,2025-01-21 21:17:55.882967,2025-01-21 21:17:55.882993,1
625,UNB- SGP,4803451,A06A040130,2025-01-21 21:17:55.889012,2025-01-21 21:17:55.889036,1
626,UNB-TREILER LANCHONETE GAREM,4841689,A06A080128,2025-01-21 21:17:55.894844,2025-01-21 21:17:55.894866,1
627,UNBSQN 212 BL D AP 108,5054257,A06S772561,2025-01-21 21:17:55.900604,2025-01-21 21:17:55.900630,1
628,UNIVERSIDADE DE BRASÍLIA SGAN 605 LT H,4449983,E04N000148,2025-01-21 21:17:55.907816,2025-01-21 21:17:55.907845,1
629,UNIVERSIDADE DE BRASÍLIA UNB FUBRA,4594177,G90T000024,2025-01-21 21:17:55.913850,2025-01-21 21:17:55.913870,1
